City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Constitución,-35.33,-72.42,285.66,92,100,3.96,CL,1596333391
Chapais,49.78,-74.85,292.15,88,1,1.5,CA,1596333391
Manta,-0.95,-80.73,296.15,83,75,5.1,EC,1596333151
Chumikan,54.72,135.31,284.05,90,100,5.72,RU,1596333391
Herat Province,34.5,62,291.12,36,0,3.29,AF,1596333392
Punta Arenas,-53.15,-70.92,275.15,93,100,2.6,CL,1596333392
Kruisfontein,-34,24.73,285.28,58,0,4.5,ZA,1596333360
Ushuaia,-54.8,-68.3,276.15,86,98,2.6,AR,1596333246
Golden,39.76,-105.22,298.15,31,40,2.6,US,1596333393
Cape Town,-33.93,18.42,284.15,76,0,4.6,ZA,1596333194
Mar del Plata,-38,-57.56,283.15,76,100,1,AR,1596333393
Sitka,57.05,-135.33,290.15,72,90,3.6,US,1596333394
Avarua,-21.21,-159.78,296.15,60,100,3.1,CK,1596333394
Severo-Kuril'sk,50.68,156.12,286.98,77,90,3.21,RU,1596333345
Busselton,-33.65,115.33,289.82,70,31,2.64,AU,1596333395
Port Alfred,-33.59,26.89,287.46,70,0,4.52,ZA,1596333395
Bambous Virieux,-20.34,57.76,294.15,88,75,8.2,MU,1596333395
Kavieng,-2.57,150.8,302.28,73,36,5.31,PG,1596333121
West Lafayette,40.43,-86.91,293.15,94,90,5.1,US,1596333200
Kapaa,22.08,-159.32,299.82,83,75,4.6,US,1596333341
Krasnogorsk,55.82,37.32,287.15,82,90,3,RU,1596333396
Hermanus,-34.42,19.23,290.37,39,0,1.34,ZA,1596333396
Makakilo City,21.35,-158.09,305.15,43,40,3.1,US,1596333397
Potiskum,11.71,11.07,299.19,71,96,4,NG,1596333397
Klaksvík,62.23,-6.59,283.15,100,60,6.2,FO,1596333397
Bonavista,48.65,-53.11,286.48,76,100,2.92,CA,1596333368
Yulara,-25.24,130.99,291.15,20,0,2.6,AU,1596333398
Tezu,27.92,96.17,303.46,63,18,1.09,IN,1596333398
Tasiilaq,65.61,-37.64,281.15,49,1,2.6,GL,1596333398
Albany,42.6,-73.97,297.04,56,98,0.95,US,1596333312
Aldan,58.6,125.39,287.96,68,99,5.59,RU,1596333398
East London,-33.02,27.91,288.23,52,0,4.31,ZA,1596333384
